cluster_id,analysis_order,reference_id,treatment_id,execution_class,strict_correct,semantic_correct,semantic_determinate,output_tokens,finish_reason
622d6f22bcfa4d01198ab75aedc84783,200,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,391,stop
8b18fc7ec69c957ff58c3bff846ec3d6,257,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,487,stop
8b18fc7ec69c957ff58c3bff846ec3d6,257,BASE,T1_SILENT_CHECK,primary,True,True,True,572,stop
8b18fc7ec69c957ff58c3bff846ec3d6,257,BASE,T0_OFF,primary,False,True,True,581,stop
8b18fc7ec69c957ff58c3bff846ec3d6,257,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,571,stop
8b18fc7ec69c957ff58c3bff846ec3d6,257,MASK_SENTINEL,T0_OFF,primary,True,True,True,622,stop
8b18fc7ec69c957ff58c3bff846ec3d6,257,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,615,stop
e8c3617f33f27d3c462deeeae64c209b,127,BASE,T0_OFF,primary,False,False,False,1187,stop
e8c3617f33f27d3c462deeeae64c209b,127,BASE,T1_SILENT_CHECK,primary,True,True,True,1246,stop
e8c3617f33f27d3c462deeeae64c209b,127,MASK_SENTINEL,T0_OFF,primary,True,True,True,911,stop
e8c3617f33f27d3c462deeeae64c209b,127,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,True,True,1052,stop
e8c3617f33f27d3c462deeeae64c209b,127,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,1111,stop
e8c3617f33f27d3c462deeeae64c209b,127,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,1111,stop
267c60870434da33b48ce6cb0e4e10d1,41,BASE,T0_OFF,primary,False,False,False,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,BASE,T1_SILENT_CHECK,primary,False,False,False,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,MASK_SENTINEL,T0_OFF,primary,False,False,True,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,False,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,True,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,BASE,T0_OFF,integrity_duplicate,False,False,False,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,BASE,T1_SILENT_CHECK,integrity_duplicate,False,False,False,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,MASK_SENTINEL,T0_OFF,integrity_duplicate,False,False,True,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,MASK_SENTINEL,T1_SILENT_CHECK,integrity_duplicate,False,False,False,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,integrity_duplicate,False,False,True,8192,length
267c60870434da33b48ce6cb0e4e10d1,41,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,integrity_duplicate,False,False,True,8192,length
a3303236c97dc3b336e1dfc6e5240b18,283,MASK_SENTINEL,T0_OFF,primary,True,True,True,253,stop
a3303236c97dc3b336e1dfc6e5240b18,283,BASE,T0_OFF,primary,False,False,False,320,stop
a3303236c97dc3b336e1dfc6e5240b18,283,BASE,T1_SILENT_CHECK,primary,True,True,True,324,stop
a3303236c97dc3b336e1dfc6e5240b18,283,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,235,stop
a3303236c97dc3b336e1dfc6e5240b18,283,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,311,stop
a3303236c97dc3b336e1dfc6e5240b18,283,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,312,stop
a3303236c97dc3b336e1dfc6e5240b18,283,BASE,T0_OFF,integrity_duplicate,False,False,False,320,stop
a3303236c97dc3b336e1dfc6e5240b18,283,MASK_SENTINEL,T0_OFF,integrity_duplicate,True,True,True,253,stop
a3303236c97dc3b336e1dfc6e5240b18,283,MASK_SENTINEL,T1_SILENT_CHECK,integrity_duplicate,True,True,True,235,stop
a3303236c97dc3b336e1dfc6e5240b18,283,BASE,T1_SILENT_CHECK,integrity_duplicate,True,True,True,324,stop
a3303236c97dc3b336e1dfc6e5240b18,283,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,integrity_duplicate,True,True,True,311,stop
a3303236c97dc3b336e1dfc6e5240b18,283,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,integrity_duplicate,True,True,True,312,stop
69928d9f943235c4bcbb47fcc6503ce3,297,BASE,T0_OFF,primary,False,False,False,559,stop
69928d9f943235c4bcbb47fcc6503ce3,297,BASE,T1_SILENT_CHECK,primary,False,False,True,599,stop
69928d9f943235c4bcbb47fcc6503ce3,297,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,False,False,False,516,stop
69928d9f943235c4bcbb47fcc6503ce3,297,MASK_SENTINEL,T0_OFF,primary,False,False,False,618,stop
69928d9f943235c4bcbb47fcc6503ce3,297,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,617,stop
69928d9f943235c4bcbb47fcc6503ce3,297,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,False,False,True,628,stop
b5ac3967f5cb4ad946af8e085103c3b4,64,MASK_SENTINEL,T1_SILENT_CHECK,primary,False,False,True,480,stop
b5ac3967f5cb4ad946af8e085103c3b4,64,MASK_SENTINEL,T0_OFF,primary,False,False,True,544,stop
b5ac3967f5cb4ad946af8e085103c3b4,64,BASE,T1_SILENT_CHECK,primary,False,False,True,587,stop
b5ac3967f5cb4ad946af8e085103c3b4,64,BASE,T0_OFF,primary,False,True,True,654,stop
b5ac3967f5cb4ad946af8e085103c3b4,64,METADATA_TOKEN_MATCHED_TO_MASK,T0_OFF,primary,True,True,True,665,stop
b5ac3967f5cb4ad946af8e085103c3b4,64,METADATA_TOKEN_MATCHED_TO_MASK,T1_SILENT_CHECK,primary,True,True,True,620,stop
a38fc645bc2a9a6ce072679b76782da7,288,BASE,T1_SILENT_CHECK,primary,True,True,True,178,stop
a38fc645bc2a9a6ce072679b76782da7,288,MASK_SENTINEL,T1_SILENT_CHECK,primary,True,True,True,225,stop
